ds,level,type
01-11-2020,126.6416039,Data
02-11-2020,126.5899423,Data
03-11-2020,126.5321022,Data
04-11-2020,126.4859069,Data
05-11-2020,126.4793567,Data
06-11-2020,126.3884696,Data
07-11-2020,126.3119697,Data
08-11-2020,126.1644113,Data
09-11-2020,126.0656936,Data
10-11-2020,125.9653313,Data
11-11-2020,125.8815187,Data
12-11-2020,125.8424374,Data
13-11-2020,125.7240958,Data
14-11-2020,125.6250236,Data
15-11-2020,125.4594077,Data
16-11-2020,125.346627,Data
17-11-2020,125.2355453,Data
18-11-2020,125.1436056,Data
19-11-2020,125.0981686,Data
20-11-2020,124.9743882,Data
21-11-2020,124.8699407,Data
22-11-2020,124.6981976,Data
23-11-2020,124.5777941,Data
24-11-2020,124.4569548,Data
25-11-2020,124.3526159,Data
26-11-2020,124.2917886,Data
27-11-2020,124.1494512,Data
28-11-2020,124.0232922,Data
29-11-2020,123.8268874,Data
30-11-2020,123.6792672,Data
01-12-2020,123.5292335,Data
02-12-2020,123.3944668,Data
03-12-2020,123.3028672,Data
04-12-2020,123.1304193,Data
05-12-2020,122.975902,Data
06-12-2020,122.7540298,Data
07-12-2020,122.5849793,Data
08-12-2020,122.4186666,Data
09-12-2020,122.2738113,Data
10-12-2020,122.1792386,Data
11-12-2020,122.0117052,Data
12-12-2020,121.8705758,Data
13-12-2020,121.6709339,Data
14-12-2020,121.5330862,Data
15-12-2020,121.4068216,Data
16-12-2020,121.3104677,Data
17-12-2020,121.2721902,30-Days
18-12-2020,121.1678266,30-Days
19-12-2020,121.0955771,30-Days
20-12-2020,120.9691384,30-Days
21-12-2020,120.9072386,30-Days
22-12-2020,120.8579324,30-Days
23-12-2020,120.8377009,30-Days
24-12-2020,120.8727969,30-Days
25-12-2020,120.8371301,30-Days
26-12-2020,120.8270087,30-Days
27-12-2020,120.7543267,30-Days
28-12-2020,120.7361491,30-Days
29-12-2020,120.7190568,30-Days
30-12-2020,120.7182893,30-Days
31-12-2020,120.7591305,30-Days
01-01-2021,120.7148252,30-Days
02-01-2021,120.6813462,30-Days
03-01-2021,120.5705973,30-Days
04-01-2021,120.5000059,30-Days
05-01-2021,120.4168657,30-Days
06-01-2021,120.3374681,30-Days
07-01-2021,120.2884665,30-Days
08-01-2021,120.144764,30-Days
09-01-2021,120.0042423,30-Days
10-01-2021,119.7809204,30-Days
11-01-2021,119.5944963,30-Days
12-01-2021,119.3946349,30-Days
13-01-2021,119.2000406,30-Days
14-01-2021,119.0397625,30-Days
15-01-2021,118.7910215,30-Days
16-01-2021,118.5538821,90-Days
17-01-2021,118.2443554,90-Days
18-01-2021,117.9838919,90-Days
19-01-2021,117.7236243,90-Days
20-01-2021,117.4834048,90-Days
21-01-2021,117.2930814,90-Days
22-01-2021,117.0303064,90-Days
23-01-2021,116.795198,90-Days
24-01-2021,116.5034448,90-Days
25-01-2021,116.2758076,90-Days
26-01-2021,116.0623829,90-Days
27-01-2021,115.8816679,90-Days
28-01-2021,115.7618743,90-Days
29-01-2021,115.5787801,90-Days
30-01-2021,115.4304411,90-Days
31-01-2021,115.2303492,90-Days
01-02-2021,115.0969916,90-Days
02-02-2021,114.9781721,90-Days
03-02-2021,114.8901351,90-Days
04-02-2021,114.8589345,90-Days
05-02-2021,114.7583392,90-Days
06-02-2021,114.6845926,90-Days
07-02-2021,114.5496127,90-Days
08-02-2021,114.4705859,90-Days
09-02-2021,114.3943158,90-Days
10-02-2021,114.3363646,90-Days
11-02-2021,114.3224318,90-Days
12-02-2021,114.2262588,90-Days
13-02-2021,114.1443799,90-Days
14-02-2021,113.9893042,90-Days
15-02-2021,113.879084,90-Days
16-02-2021,113.7616307,90-Days
17-02-2021,113.6538169,90-Days
18-02-2021,113.5828119,90-Days
19-02-2021,113.423939,90-Days
20-02-2021,113.2753773,90-Days
21-02-2021,113.0512941,90-Days
22-02-2021,112.8713646,90-Days
23-02-2021,112.6850412,90-Days
24-02-2021,112.5106139,90-Days
25-02-2021,112.3765072,90-Days
26-02-2021,112.1591067,90-Days
27-02-2021,111.9574357,90-Days
28-02-2021,111.6862704,90-Days
01-03-2021,111.4656507,90-Days
02-03-2021,111.2451475,90-Days
03-03-2021,111.0429304,90-Days
04-03-2021,110.8870781,90-Days
05-03-2021,110.6534271,90-Days
06-03-2021,110.4402747,90-Days
07-03-2021,110.1615279,90-Days
08-03-2021,109.93625,90-Days
09-03-2021,109.7129686,90-Days
10-03-2021,109.5087835,90-Days
11-03-2021,109.3507194,90-Days
12-03-2021,109.113614,90-Days
13-03-2021,108.8948595,90-Days
14-03-2021,108.6075848,90-Days
15-03-2021,108.3702318,90-Days
16-03-2021,108.1308869,90-Days
