Date,Mysore,Kodagu,Mandya,Hassan
01-Jan-11,0.02,0.22,0,0.01
02-Jan-11,0,0,0,0
03-Jan-11,0,0,0,0
04-Jan-11,0,0,0,0
05-Jan-11,0,0,0,0
06-Jan-11,0,0,0,0
07-Jan-11,0,0,0,0
08-Jan-11,0,0,0,0
09-Jan-11,0,0,0,0
10-Jan-11,0,0,0,0
11-Jan-11,0,0,0,0
12-Jan-11,0,0,0,0
13-Jan-11,0,0,0,0
14-Jan-11,0,0,0,0
15-Jan-11,0,0,0,0
16-Jan-11,0,0,0,0
17-Jan-11,0,0,0,0
18-Jan-11,0,0,0,0
19-Jan-11,0,0,0,0
20-Jan-11,0,0,0,0
21-Jan-11,0,0,0,0
22-Jan-11,0,0,0,0
23-Jan-11,0,0,0,0
24-Jan-11,0,0,0,0
25-Jan-11,0,0,0,0
26-Jan-11,0,0,0,0
27-Jan-11,0,0,0,0
28-Jan-11,0,0,0,0
29-Jan-11,0,0,0,0
30-Jan-11,0,0,0,0
31-Jan-11,0,0,0,0
01-Feb-11,0,0,0,0
02-Feb-11,0,0,0,0
03-Feb-11,0,0,0,0
04-Feb-11,0,0,0,0
05-Feb-11,0,0,0,0
06-Feb-11,0,0,0,0
07-Feb-11,0,0,0,0
08-Feb-11,0,0,0,0
09-Feb-11,0,0,0,0
10-Feb-11,0,0,0,0
11-Feb-11,0,0,0,0
12-Feb-11,0,0,0,0
13-Feb-11,0,0,0,0
14-Feb-11,0,0,0,0
15-Feb-11,0,0,0,0
16-Feb-11,0,0,0,0
17-Feb-11,0,0,0,0
18-Feb-11,0,0,0,0
19-Feb-11,0,0,0,0
20-Feb-11,0,0,0,0
21-Feb-11,0.4,0.32,2.92,1.73
22-Feb-11,0,0,0,0
23-Feb-11,0,0,0,0
24-Feb-11,2.44,0.33,1.09,0.08
25-Feb-11,0.81,7.93,0,1.02
26-Feb-11,0.06,0,2.7,0
27-Feb-11,1.16,0.21,0.47,0.06
28-Feb-11,0,0,0,0
01-Mar-11,0,0,0,0
02-Mar-11,0,0,0,0
03-Mar-11,0,0,0,0
04-Mar-11,0,0,0,0
05-Mar-11,0,0,0,0
06-Mar-11,0,0,0,0
07-Mar-11,0,0,0,0
08-Mar-11,0,0,0,0
09-Mar-11,0,0,0,0
10-Mar-11,0,0,0,0
11-Mar-11,0,0,0,0
12-Mar-11,0,0,0,0
13-Mar-11,0,0,0,0
14-Mar-11,0,0,0,0
15-Mar-11,0,0,0,0
16-Mar-11,0,0,0,0
17-Mar-11,0,0,0,0
18-Mar-11,0,0,0,0
19-Mar-11,0,0,0,0
20-Mar-11,0,0,0,0
21-Mar-11,0.02,0.02,0,0
22-Mar-11,0,0,0,0
23-Mar-11,0,0,0,0
24-Mar-11,0.35,1.02,0.63,0.42
25-Mar-11,0,0.14,0,0.93
26-Mar-11,24.84,3.09,22.84,2.16
27-Mar-11,0.64,0.21,1.58,1.1
28-Mar-11,0.45,4.51,0,0.43
29-Mar-11,0,0,0,0
30-Mar-11,0,0,0,0
31-Mar-11,0,0,0,0
01-Apr-11,0,0,0,0
02-Apr-11,0.02,0,0.62,0
03-Apr-11,11.06,1.4,2.33,0
04-Apr-11,0,0,0,0
05-Apr-11,0,0,0,0
06-Apr-11,0.09,0,0.07,0
07-Apr-11,0,0,0,0
08-Apr-11,0,0,0,0
09-Apr-11,0,0,0,0
10-Apr-11,0.45,1.1,0.28,5.85
11-Apr-11,1.09,6.34,0.35,8.17
12-Apr-11,0.16,1.63,0,0.15
13-Apr-11,0,0,0,0
14-Apr-11,5.09,2.39,1.01,0.17
15-Apr-11,1.08,8.59,0.03,1.63
16-Apr-11,1.97,1.17,1.56,4.55
17-Apr-11,0.58,2.44,0.82,8.03
18-Apr-11,0,0.43,0,2.67
19-Apr-11,6.97,3.21,5.69,0.68
20-Apr-11,5.7,8.3,5.95,9.47
21-Apr-11,15.67,8.39,27.48,4.08
22-Apr-11,51.04,16.94,41.35,27.47
